	track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
9283	track_1383631	183	2511	1	0	0	0	0.0	0
6555	track_1154900	545	2510	4	2	0	0	0.0	0
5039	track_1052161	1035	2509	10	3	0	0	0.0	0
1284	track_0132216	1010	2509	30	16	0	0	4.0	1
9457	track_1397149	464	2509	8	2	0	0	0.0	0
9087	track_1368300	1794	2509	8	2	0	0	0.0	0
8786	track_1350952	916	2508	11	2	0	0	5.0	2
1766	track_0192184	523	2506	90	50	0	0	0.0	0
7394	track_1227933	12478	2504	2	0	1	0	0.0	0
8491	track_1340349	1512	2502	7	4	0	0	0.0	0
8000	track_1288082	962	2502	8	2	0	0	0.0	0
3462	track_0529014	2404	2500	4	1	0	0	0.0	0
7269	track_1208086	2996	2500	2	0	0	0	0.0	0
972	track_0089806	593	2499	9	2	0	0	0.0	0
3149	track_0428994	376	2498	14	5	0	0	0.0	0
775	track_0044719	872	2498	39	16	0	0	0.0	0
2500	track_0322126	301	2496	64	41	1	0	0.0	0
3882	track_0761658	1354	2495	8	5	0	0	0.0	0
4558	track_0972188	542	2495	10	4	0	0	0.0	0
602	track_0036974	396	2494	39	18	0	0	0.0	0
6746	track_1164980	1515	2492	13	5	1	0	0.0	0
6697	track_1164052	848	2492	8	3	0	0	0.0	0
2535	track_0335214	2292	2490	12	4	0	0	0.0	0
7376	track_1219472	1061	2490	0	0	0	0	0.0	0
668	track_0038536	276	2490	8	3	0	0	4.0	1
6024	track_1122004	747	2490	8	3	0	0	0.0	0
4203	track_0887655	2208	2487	16	5	0	0	6.0	1
2172	track_0268331	2248	2486	23	12	0	0	0.0	0
8164	track_1301092	970	2484	9	7	0	0	0.0	0
7442	track_1230820	627	2483	4	2	0	0	0.0	0
